filename,width,height,class,xmin,ymin,xmax,ymax
Image_27.jpg,700,700,onion,54,171,368,497
Image_27.jpg,700,700,onion,287,258,679,554
Image_5.jpg,1000,667,onion,146,63,551,367
Image_5.jpg,1000,667,onion,507,105,870,537
Image_5.jpg,1000,667,onion,189,232,573,589
Image_68.png,650,259,onion,6,30,163,250
Image_68.png,650,259,onion,128,51,275,231
Image_68.png,650,259,onion,265,39,445,238
Image_68.png,650,259,onion,422,16,610,239
Image_83.jpg,720,720,onion,132,237,267,531
Image_83.jpg,720,720,onion,70,430,199,620
Image_83.jpg,720,720,onion,335,182,481,503
Image_83.jpg,720,720,onion,274,145,317,456
Image_83.jpg,720,720,onion,502,380,611,587
Image_83.jpg,720,720,onion,443,387,513,603
Image_83.jpg,720,720,onion,293,440,380,630
Image_83.jpg,720,720,onion,211,433,276,576
Image_96.jpg,1920,1080,onion,121,191,1148,1045
Image_96.jpg,1920,1080,onion,934,77,1767,997
Image_50.jpg,317,286,onion,38,28,277,269
Image_22.jpg,660,440,onion,45,33,200,208
Image_22.jpg,660,440,onion,187,138,380,344
Image_22.jpg,660,440,onion,456,329,584,433
Image_22.jpg,660,440,onion,477,185,605,346
Image_22.jpg,660,440,onion,371,206,466,315
Image_22.jpg,660,440,onion,110,279,249,415
Image_22.jpg,660,440,onion,366,44,482,171
Image_22.jpg,660,440,onion,479,26,583,169
Image_22.jpg,660,440,onion,192,12,302,119
Image_22.jpg,660,440,onion,565,5,635,105
Image_22.jpg,660,440,onion,276,7,443,94
Image_22.jpg,660,440,onion,299,298,413,420
Image_22.jpg,660,440,onion,613,306,652,429
Image_22.jpg,660,440,onion,541,122,643,233
Image_22.jpg,660,440,onion,20,176,180,332
Image_85.jpg,536,357,onion,108,30,357,248
Image_85.jpg,536,357,onion,190,79,388,334
Image_75.jpg,6030,4020,onion,1539,311,4581,3564
Image_65.jpg,750,570,onion,158,13,641,498
Image_16.jpg,1200,1200,onion,225,254,588,658
Image_16.jpg,1200,1200,onion,792,440,1183,870
Image_16.jpg,1200,1200,onion,528,195,923,558
Image_16.jpg,1200,1200,onion,19,522,439,866
Image_16.jpg,1200,1200,onion,424,537,791,952
Image_98.jpg,1367,2048,onion,102,238,1311,1773
Image_98.jpg,1367,2048,onion,291,19,1225,659
Image_98.jpg,1367,2048,onion,9,349,405,1097
Image_81.jpg,1476,1107,onion,696,573,867,789
Image_60.jpg,2560,1920,onion,72,26,910,984
Image_60.jpg,2560,1920,onion,330,823,1223,1602
Image_60.jpg,2560,1920,onion,1135,731,2065,1678
Image_60.jpg,2560,1920,onion,943,113,1473,958
Image_60.jpg,2560,1920,onion,1379,231,2152,901
Image_60.jpg,2560,1920,onion,2071,773,2542,1816
Image_25.jpg,1200,800,onion,353,114,880,611
Image_25.jpg,1200,800,onion,2,483,412,668
Image_25.jpg,1200,800,onion,803,264,1132,478
Image_25.jpg,1200,800,onion,203,232,477,470
Image_25.jpg,1200,800,onion,757,476,1192,787
Image_25.jpg,1200,800,onion,142,678,868,788
Image_78.png,240,240,onion,15,6,235,237
Image_46.jpg,900,900,onion,220,72,640,476
Image_46.jpg,900,900,onion,521,386,849,796
Image_46.jpg,900,900,onion,140,413,620,847
Image_46.jpg,900,900,onion,64,449,300,775
Image_94.png,1029,1109,onion,18,108,997,1049
Image_100.jpg,693,350,onion,83,16,393,321
Image_100.jpg,693,350,onion,327,88,602,331
Image_100.jpg,693,350,onion,311,5,554,120
Image_70.jpg,470,470,onion,13,99,225,315
Image_70.jpg,470,470,onion,118,168,300,384
Image_70.jpg,470,470,onion,244,139,453,343
Image_21.jpg,975,800,onion,29,168,492,694
Image_21.jpg,975,800,onion,387,65,953,730
Image_26.jpg,1024,1024,onion,202,74,814,965
Image_71.png,1000,1000,onion,224,207,755,756
Image_7.jpg,1500,1125,onion,127,121,715,627
Image_7.jpg,1500,1125,onion,584,482,886,822
Image_7.jpg,1500,1125,onion,638,24,1165,482
Image_61.jpg,1200,1200,onion,40,353,876,1137
Image_61.jpg,1200,1200,onion,22,11,709,337
Image_17.jpg,960,640,onion,253,45,569,303
Image_17.jpg,960,640,onion,67,189,248,411
Image_17.jpg,960,640,onion,137,252,339,521
Image_17.jpg,960,640,onion,339,288,629,616
Image_17.jpg,960,640,onion,600,166,893,560
Image_62.jpg,2296,1536,onion,122,201,597,524
Image_62.jpg,2296,1536,onion,831,171,1268,724
Image_62.jpg,2296,1536,onion,787,560,1314,832
Image_62.jpg,2296,1536,onion,576,644,943,941
Image_62.jpg,2296,1536,onion,192,707,583,1112
Image_62.jpg,2296,1536,onion,7,1051,325,1446
Image_62.jpg,2296,1536,onion,1065,854,1456,1264
Image_62.jpg,2296,1536,onion,1505,1079,1954,1439
Image_62.jpg,2296,1536,onion,1854,400,2154,786
Image_62.jpg,2296,1536,onion,1660,33,2032,358
Image_62.jpg,2296,1536,onion,1371,7,1806,224
Image_62.jpg,2296,1536,onion,1051,44,1482,274
Image_62.jpg,2296,1536,onion,559,134,912,474
Image_62.jpg,2296,1536,onion,1177,197,1545,625
Image_62.jpg,2296,1536,onion,1468,328,1795,672
Image_62.jpg,2296,1536,onion,339,5,803,297
Image_62.jpg,2296,1536,onion,548,983,841,1255
Image_62.jpg,2296,1536,onion,753,1161,1111,1533
Image_62.jpg,2296,1536,onion,358,1138,676,1414
Image_62.jpg,2296,1536,onion,1969,1117,2287,1475
Image_62.jpg,2296,1536,onion,1657,735,2167,1133
Image_62.jpg,2296,1536,onion,5,5,316,176
Image_62.jpg,2296,1536,onion,1929,182,2262,397
Image_62.jpg,2296,1536,onion,1074,1261,1435,1516
Image_62.jpg,2296,1536,onion,14,611,159,1006
Image_62.jpg,2296,1536,onion,89,501,417,705
Image_62.jpg,2296,1536,onion,1355,744,1694,1051
Image_59.jpg,2592,1944,onion,731,219,1564,738
Image_59.jpg,2592,1944,onion,214,994,1003,1367
Image_59.jpg,2592,1944,onion,1686,1032,2075,1531
Image_59.jpg,2592,1944,onion,1173,1085,1458,1646
Image_59.jpg,2592,1944,onion,1494,82,1991,555
Image_59.jpg,2592,1944,onion,1410,621,1775,946
Image_59.jpg,2592,1944,onion,1872,1397,2159,1870
Image_59.jpg,2592,1944,onion,499,1503,1087,1775
Image_59.jpg,2592,1944,onion,2117,234,2358,824
Image_59.jpg,2592,1944,onion,2119,886,2258,1284
Image_29.jpg,1200,800,onion,54,71,426,426
Image_29.jpg,1200,800,onion,429,82,798,502
Image_29.jpg,1200,800,onion,782,72,1085,409
Image_79.jpg,375,249,onion,37,35,126,93
Image_79.jpg,375,249,onion,136,32,227,98
Image_79.jpg,375,249,onion,32,129,111,190
Image_79.jpg,375,249,onion,6,105,66,158
Image_79.jpg,375,249,onion,7,61,59,104
Image_79.jpg,375,249,onion,195,154,270,206
Image_79.jpg,375,249,onion,179,115,260,170
Image_79.jpg,375,249,onion,155,111,199,177
Image_79.jpg,375,249,onion,88,154,150,222
Image_79.jpg,375,249,onion,318,80,363,128
Image_79.jpg,375,249,onion,280,91,321,134
Image_79.jpg,375,249,onion,256,61,305,110
Image_79.jpg,375,249,onion,298,140,343,181
Image_79.jpg,375,249,onion,253,149,302,193
Image_79.jpg,375,249,onion,347,121,369,167
Image_80.jpg,470,500,onion,61,44,453,447
Image_53.jpg,572,357,onion,138,32,431,343
Image_45.jpg,1836,1201,onion,87,1,673,810
Image_45.jpg,1836,1201,onion,883,465,1814,1102
Image_45.jpg,1836,1201,onion,550,4,1047,449
Image_45.jpg,1836,1201,onion,1062,0,1345,446
Image_45.jpg,1836,1201,onion,1437,1,1650,427
Image_45.jpg,1836,1201,onion,1642,19,1791,304
Image_39.jpg,300,300,onion,10,124,135,285
Image_39.jpg,300,300,onion,141,117,280,274
Image_39.jpg,300,300,onion,59,-1,192,168
Image_99.jpg,553,369,onion,287,228,353,309
Image_99.jpg,553,369,onion,231,256,281,322
Image_99.jpg,553,369,onion,177,236,241,301
Image_99.jpg,553,369,onion,132,212,200,290
Image_99.jpg,553,369,onion,92,210,132,280
Image_99.jpg,553,369,onion,70,166,138,218
Image_99.jpg,553,369,onion,53,139,129,200
Image_99.jpg,553,369,onion,58,37,127,124
Image_99.jpg,553,369,onion,144,16,204,61
Image_99.jpg,553,369,onion,191,19,246,59
Image_99.jpg,553,369,onion,394,63,469,120
Image_99.jpg,553,369,onion,364,96,437,151
Image_99.jpg,553,369,onion,379,184,433,232
Image_99.jpg,553,369,onion,351,212,408,269
Image_99.jpg,553,369,onion,263,190,315,233
Image_99.jpg,553,369,onion,220,164,266,216
Image_99.jpg,553,369,onion,164,168,238,228
Image_99.jpg,553,369,onion,135,155,189,250
Image_99.jpg,553,369,onion,228,92,290,147
Image_99.jpg,553,369,onion,181,85,248,140
Image_99.jpg,553,369,onion,136,94,183,143
Image_99.jpg,553,369,onion,305,44,382,113
Image_99.jpg,553,369,onion,260,23,314,79
Image_99.jpg,553,369,onion,315,158,364,198
Image_33.png,363,285,onion,15,59,205,247
Image_33.png,363,285,onion,184,47,352,217
Image_87.jpg,1648,1153,onion,102,255,786,1038
Image_87.jpg,1648,1153,onion,765,405,1537,981
Image_87.jpg,1648,1153,onion,532,105,1166,499
Image_69.jpg,500,374,onion,126,46,387,336
Image_48.jpg,1600,1112,onion,112,222,837,778
Image_48.jpg,1600,1112,onion,766,418,1217,930
Image_48.jpg,1600,1112,onion,729,94,1410,438
Image_48.jpg,1600,1112,onion,1012,626,1550,1081
Image_48.jpg,1600,1112,onion,469,607,951,1067
Image_23.jpg,1200,800,onion,9,201,423,603
Image_23.jpg,1200,800,onion,375,74,740,478
Image_23.jpg,1200,800,onion,760,92,1164,493
Image_23.jpg,1200,800,onion,467,225,1009,740
Image_14.jpg,553,369,onion,56,57,117,110
Image_14.jpg,553,369,onion,390,55,461,123
Image_14.jpg,553,369,onion,145,13,187,61
Image_14.jpg,553,369,onion,195,12,242,67
Image_14.jpg,553,369,onion,61,150,130,201
Image_14.jpg,553,369,onion,281,231,363,306
Image_14.jpg,553,369,onion,237,258,288,311
Image_14.jpg,553,369,onion,183,231,251,306
Image_14.jpg,553,369,onion,139,224,191,289
Image_14.jpg,553,369,onion,97,211,137,248
Image_14.jpg,553,369,onion,79,184,135,226
Image_14.jpg,553,369,onion,65,115,130,146
Image_14.jpg,553,369,onion,306,50,360,103
Image_14.jpg,553,369,onion,259,34,305,67
Image_14.jpg,553,369,onion,246,141,318,191
Image_14.jpg,553,369,onion,192,129,245,184
Image_14.jpg,553,369,onion,147,125,196,183
Image_14.jpg,553,369,onion,133,94,180,139
Image_14.jpg,553,369,onion,364,194,429,234
Image_14.jpg,553,369,onion,354,221,415,273
Image_14.jpg,553,369,onion,172,188,237,221
Image_14.jpg,553,369,onion,367,101,426,153
Image_14.jpg,553,369,onion,217,89,297,150
Image_14.jpg,553,369,onion,265,200,321,230
Image_14.jpg,553,369,onion,226,215,275,253
Image_14.jpg,553,369,onion,285,96,334,134
Image_14.jpg,553,369,onion,134,65,212,93
Image_14.jpg,553,369,onion,328,163,372,205
Image_86.jpg,250,250,onion,24,10,211,237
Image_97.jpg,1500,973,onion,78,145,583,638
Image_97.jpg,1500,973,onion,40,500,345,737
Image_97.jpg,1500,973,onion,361,145,896,766
Image_97.jpg,1500,973,onion,962,145,1344,676
Image_97.jpg,1500,973,onion,633,52,1071,490
Image_97.jpg,1500,973,onion,924,471,1298,878
Image_97.jpg,1500,973,onion,545,584,894,878
Image_97.jpg,1500,973,onion,789,600,1065,905
Image_11.jpg,1920,1080,onion,137,183,1140,1061
Image_11.jpg,1920,1080,onion,935,5,1748,1032
Image_18.jpg,2272,1515,onion,353,337,711,638
Image_18.jpg,2272,1515,onion,972,787,1315,1100
Image_18.jpg,2272,1515,onion,738,666,1010,1065
Image_18.jpg,2272,1515,onion,374,876,753,1198
Image_18.jpg,2272,1515,onion,5,971,337,1363
Image_18.jpg,2272,1515,onion,1363,1174,1795,1508
Image_18.jpg,2272,1515,onion,1492,478,1850,796
Image_18.jpg,2272,1515,onion,12,5,310,249
Image_18.jpg,2272,1515,onion,14,324,374,730
Image_18.jpg,2272,1515,onion,713,1298,1056,1505
Image_18.jpg,2272,1515,onion,823,232,1164,609
Image_18.jpg,2272,1515,onion,1754,263,2172,640
Image_18.jpg,2272,1515,onion,976,45,1634,338
Image_18.jpg,2272,1515,onion,503,9,778,224
Image_18.jpg,2272,1515,onion,403,1148,780,1509
Image_18.jpg,2272,1515,onion,108,1232,387,1497
Image_18.jpg,2272,1515,onion,1725,1122,2257,1504
Image_18.jpg,2272,1515,onion,1630,840,1873,1201
Image_18.jpg,2272,1515,onion,1775,737,2155,1021
Image_18.jpg,2272,1515,onion,1231,695,1682,976
Image_18.jpg,2272,1515,onion,978,544,1346,862
Image_18.jpg,2272,1515,onion,744,520,930,771
Image_18.jpg,2272,1515,onion,320,131,673,453
Image_18.jpg,2272,1515,onion,1351,349,1659,624
Image_49.png,800,611,onion,5,23,758,601
Image_20.jpg,1600,1180,onion,119,194,748,916
Image_20.jpg,1600,1180,onion,768,231,1463,936
Image_20.jpg,1600,1180,onion,508,58,1089,368
Image_92.jpg,1500,1125,onion,130,142,716,641
Image_92.jpg,1500,1125,onion,561,485,899,811
Image_92.jpg,1500,1125,onion,630,15,1156,465
Image_15.jpg,693,350,onion,53,29,361,320
Image_15.jpg,693,350,onion,347,85,606,341
Image_41.jpg,1676,2014,onion,199,16,714,1610
Image_41.jpg,1676,2014,onion,1035,16,1383,1825
Image_41.jpg,1676,2014,onion,669,18,999,1797
Image_41.jpg,1676,2014,onion,7,1392,921,1996
Image_54.jpg,800,800,onion,183,261,391,539
Image_54.jpg,800,800,onion,385,334,612,596
Image_54.jpg,800,800,onion,398,247,624,454
Image_73.jpg,1024,415,onion,481,23,820,353
Image_30.jpg,230,297,onion,1,86,121,196
Image_30.jpg,230,297,onion,93,142,208,260
Image_30.jpg,230,297,onion,108,34,222,161
Image_84.jpg,1024,503,onion,27,7,351,264
Image_84.jpg,1024,503,onion,67,230,294,480
Image_84.jpg,1024,503,onion,248,149,549,458
Image_84.jpg,1024,503,onion,543,215,794,467
Image_84.jpg,1024,503,onion,741,73,976,354
Image_84.jpg,1024,503,onion,544,14,803,222
Image_84.jpg,1024,503,onion,363,14,558,165
Image_28.jpg,750,500,onion,66,65,455,424
Image_28.jpg,750,500,onion,419,90,730,364
Image_52.jpg,800,800,onion,149,176,476,523
Image_52.jpg,800,800,onion,261,385,602,701
Image_52.jpg,800,800,onion,370,18,640,381
Image_36.jpg,700,525,onion,18,279,203,452
Image_36.jpg,700,525,onion,172,271,377,480
Image_36.jpg,700,525,onion,360,227,532,444
Image_36.jpg,700,525,onion,486,215,684,399
Image_36.jpg,700,525,onion,189,206,380,321
Image_6.jpg,1581,1239,onion,483,714,1031,1191
Image_6.jpg,1581,1239,onion,282,332,700,847
Image_6.jpg,1581,1239,onion,4,414,331,843
Image_6.jpg,1581,1239,onion,80,728,456,1136
Image_6.jpg,1581,1239,onion,940,146,1151,366
Image_6.jpg,1581,1239,onion,1191,384,1449,632
Image_6.jpg,1581,1239,onion,1102,59,1403,404
Image_6.jpg,1581,1239,onion,776,349,1112,597
Image_6.jpg,1581,1239,onion,933,543,1205,899
Image_6.jpg,1581,1239,onion,1205,580,1419,807
Image_38.jpg,1280,852,onion,215,138,914,789
Image_38.jpg,1280,852,onion,8,61,353,589
Image_38.jpg,1280,852,onion,12,465,228,845
Image_38.jpg,1280,852,onion,881,1,1188,185
Image_2.jpg,2122,1415,onion,384,191,1191,1159
Image_2.jpg,2122,1415,onion,1161,447,1944,1302
Image_2.jpg,2122,1415,onion,942,53,1825,733
Image_37.png,872,523,onion,3,182,204,429
Image_37.png,872,523,onion,171,241,452,501
Image_37.png,872,523,onion,596,268,863,513
Image_37.png,872,523,onion,139,7,390,243
Image_37.png,872,523,onion,345,13,577,186
Image_37.png,872,523,onion,644,187,839,306
Image_37.png,872,523,onion,443,200,651,455
Image_12.jpg,1500,973,onion,62,134,588,598
Image_12.jpg,1500,973,onion,25,507,338,732
Image_12.jpg,1500,973,onion,577,41,1077,505
Image_12.jpg,1500,973,onion,346,135,896,775
Image_12.jpg,1500,973,onion,790,623,1041,912
Image_12.jpg,1500,973,onion,920,479,1316,867
Image_12.jpg,1500,973,onion,546,580,906,880
Image_12.jpg,1500,973,onion,905,136,1357,682
Image_3.jpg,1024,768,onion,7,87,144,254
Image_3.jpg,1024,768,onion,80,317,262,494
Image_3.jpg,1024,768,onion,424,124,589,283
Image_3.jpg,1024,768,onion,191,92,346,235
Image_3.jpg,1024,768,onion,753,518,918,678
Image_3.jpg,1024,768,onion,401,407,623,568
Image_3.jpg,1024,768,onion,661,170,797,302
Image_3.jpg,1024,768,onion,125,566,369,754
Image_3.jpg,1024,768,onion,392,259,547,403
Image_3.jpg,1024,768,onion,484,551,666,711
Image_3.jpg,1024,768,onion,798,325,939,430
